Model,Case,Platform,Generator,Eval_Type,AUC,Accuracy,F1-Score,Precision,Recall
xception,case4_mixed,original,pika,Folds_Mean ± SD,0.6347 ± 0.1615,0.5833 ± 0.1318,0.6243 ± 0.1074,0.5790 ± 0.1077,0.6933 ± 0.1498
xception,case4_mixed,original,runway,Fold_1,0.6222,0.6,0.6129,0.5938,0.6333
xception,case4_mixed,original,runway,Fold_2,0.6739,0.4667,0.6279,0.4821,0.9
xception,case4_mixed,original,runway,Fold_3,0.4933,0.5,0.4828,0.5,0.4667
xception,case4_mixed,original,runway,Fold_4,0.6267,0.6,0.5556,0.625,0.5
xception,case4_mixed,original,runway,Fold_5,0.4344,0.5167,0.5085,0.5172,0.5
xception,case4_mixed,original,runway,Model_Ensemble (Soft Voting),0.6422,0.5833,0.6377,0.5641,0.7333
xception,case4_mixed,original,runway,Folds_Mean ± SD,0.5701 ± 0.1012,0.5367 ± 0.0606,0.5575 ± 0.0633,0.5436 ± 0.0623,0.6000 ± 0.1795
xception,case4_mixed,original,svd,Fold_1,0.5822,0.5667,0.5667,0.5667,0.5667
xception,case4_mixed,original,svd,Fold_2,0.4689,0.4833,0.6437,0.4912,0.9333
xception,case4_mixed,original,svd,Fold_3,0.4278,0.4,0.3077,0.3636,0.2667
xception,case4_mixed,original,svd,Fold_4,0.58,0.55,0.4706,0.5714,0.4
xception,case4_mixed,original,svd,Fold_5,0.4589,0.4833,0.4561,0.4815,0.4333
xception,case4_mixed,original,svd,Model_Ensemble (Soft Voting),0.5378,0.55,0.597,0.5405,0.6667
xception,case4_mixed,original,svd,Folds_Mean ± SD,0.5036 ± 0.0724,0.4967 ± 0.0660,0.4890 ± 0.1267,0.4949 ± 0.0843,0.5200 ± 0.2545
xception,case4_mixed,instagram,pika,Fold_1,0.7856,0.7,0.7353,0.6579,0.8333
xception,case4_mixed,instagram,pika,Fold_2,0.5122,0.4167,0.5783,0.4528,0.8
xception,case4_mixed,instagram,pika,Fold_3,0.5344,0.4833,0.4918,0.4839,0.5
xception,case4_mixed,instagram,pika,Fold_4,0.8633,0.8,0.8125,0.7647,0.8667
xception,case4_mixed,instagram,pika,Fold_5,0.5289,0.5333,0.5172,0.5357,0.5
xception,case4_mixed,instagram,pika,Model_Ensemble (Soft Voting),0.7478,0.6667,0.7297,0.6136,0.9
xception,case4_mixed,instagram,pika,Folds_Mean ± SD,0.6449 ± 0.1664,0.5867 ± 0.1587,0.6270 ± 0.1404,0.5790 ± 0.1300,0.7000 ± 0.1841
xception,case4_mixed,instagram,runway,Fold_1,0.6189,0.5667,0.5667,0.5667,0.5667
xception,case4_mixed,instagram,runway,Fold_2,0.65,0.4833,0.6437,0.4912,0.9333
xception,case4_mixed,instagram,runway,Fold_3,0.4744,0.45,0.4407,0.4483,0.4333
xception,case4_mixed,instagram,runway,Fold_4,0.6111,0.6,0.5385,0.6364,0.4667
xception,case4_mixed,instagram,runway,Fold_5,0.4267,0.5,0.4643,0.5,0.4333
xception,case4_mixed,instagram,runway,Model_Ensemble (Soft Voting),0.6222,0.5833,0.6377,0.5641,0.7333
xception,case4_mixed,instagram,runway,Folds_Mean ± SD,0.5562 ± 0.0990,0.5200 ± 0.0617,0.5308 ± 0.0816,0.5285 ± 0.0737,0.5667 ± 0.2121
xception,case4_mixed,instagram,svd,Fold_1,0.5956,0.55,0.5424,0.5517,0.5333
xception,case4_mixed,instagram,svd,Fold_2,0.4489,0.4333,0.5952,0.463,0.8333
xception,case4_mixed,instagram,svd,Fold_3,0.4411,0.3833,0.3273,0.36,0.3
xception,case4_mixed,instagram,svd,Fold_4,0.57,0.5667,0.48,0.6,0.4
xception,case4_mixed,instagram,svd,Fold_5,0.4567,0.4833,0.4364,0.48,0.4
xception,case4_mixed,instagram,svd,Model_Ensemble (Soft Voting),0.5233,0.55,0.597,0.5405,0.6667
xception,case4_mixed,instagram,svd,Folds_Mean ± SD,0.5024 ± 0.0741,0.4833 ± 0.0773,0.4762 ± 0.1029,0.4909 ± 0.0917,0.4933 ± 0.2074
xception,case4_mixed,kakao_normal,pika,Fold_1,0.7678,0.6833,0.7164,0.6486,0.8
xception,case4_mixed,kakao_normal,pika,Fold_2,0.5056,0.4167,0.5783,0.4528,0.8
xception,case4_mixed,kakao_normal,pika,Fold_3,0.5533,0.4833,0.4918,0.4839,0.5
xception,case4_mixed,kakao_normal,pika,Fold_4,0.8533,0.7667,0.7742,0.75,0.8
xception,case4_mixed,kakao_normal,pika,Fold_5,0.5444,0.55,0.5424,0.5517,0.5333
xception,case4_mixed,kakao_normal,pika,Model_Ensemble (Soft Voting),0.7533,0.6833,0.7397,0.6279,0.9
xception,case4_mixed,kakao_normal,pika,Folds_Mean ± SD,0.6449 ± 0.1553,0.5800 ± 0.1436,0.6206 ± 0.1197,0.5774 ± 0.1223,0.6867 ± 0.1556
xception,case4_mixed,kakao_normal,runway,Fold_1,0.6133,0.5667,0.5667,0.5667,0.5667
xception,case4_mixed,kakao_normal,runway,Fold_2,0.6678,0.4833,0.6437,0.4912,0.9333
xception,case4_mixed,kakao_normal,runway,Fold_3,0.4811,0.4333,0.4138,0.4286,0.4
xception,case4_mixed,kakao_normal,runway,Fold_4,0.6289,0.6333,0.5926,0.6667,0.5333
xception,case4_mixed,kakao_normal,runway,Fold_5,0.4267,0.4833,0.4364,0.48,0.4
xception,case4_mixed,kakao_normal,runway,Model_Ensemble (Soft Voting),0.6289,0.6,0.6471,0.5789,0.7333
