Model,Case,Platform,Generator,Eval_Type,AUC,Accuracy,F1-Score,Precision,Recall
swin,case4_mixed,kakao_high,svd,Folds_Mean ± SD,0.7820 ± 0.0449,0.6000 ± 0.0527,0.7108 ± 0.0294,0.5579 ± 0.0313,0.9800 ± 0.0183
r3d,case1_original,original,pika,Fold_1,0.7922,0.5333,0.6818,0.5172,1.0
r3d,case1_original,original,pika,Fold_2,0.7867,0.5667,0.6905,0.537,0.9667
r3d,case1_original,original,pika,Fold_3,0.8511,0.5667,0.6977,0.5357,1.0
r3d,case1_original,original,pika,Fold_4,0.8522,0.6667,0.75,0.6,1.0
r3d,case1_original,original,pika,Fold_5,0.8322,0.5833,0.7059,0.5455,1.0
r3d,case1_original,original,pika,Model_Ensemble (Soft Voting),0.8478,0.55,0.6897,0.5263,1.0
r3d,case1_original,original,pika,Folds_Mean ± SD,0.8229 ± 0.0316,0.5833 ± 0.0500,0.7052 ± 0.0266,0.5471 ± 0.0313,0.9933 ± 0.0149
r3d,case1_original,original,runway,Fold_1,0.7444,0.5167,0.6667,0.5088,0.9667
r3d,case1_original,original,runway,Fold_2,0.8011,0.5833,0.7059,0.5455,1.0
r3d,case1_original,original,runway,Fold_3,0.8778,0.5667,0.6977,0.5357,1.0
r3d,case1_original,original,runway,Fold_4,0.7456,0.6333,0.7179,0.5833,0.9333
r3d,case1_original,original,runway,Fold_5,0.8578,0.5833,0.7059,0.5455,1.0
r3d,case1_original,original,runway,Model_Ensemble (Soft Voting),0.8111,0.55,0.6897,0.5263,1.0
r3d,case1_original,original,runway,Folds_Mean ± SD,0.8053 ± 0.0618,0.5767 ± 0.0418,0.6988 ± 0.0194,0.5437 ± 0.0267,0.9800 ± 0.0298
r3d,case1_original,original,svd,Fold_1,0.4022,0.45,0.6024,0.4717,0.8333
r3d,case1_original,original,svd,Fold_2,0.4694,0.5167,0.642,0.5098,0.8667
r3d,case1_original,original,svd,Fold_3,0.4933,0.4667,0.6,0.48,0.8
r3d,case1_original,original,svd,Fold_4,0.4244,0.5167,0.5915,0.5122,0.7
r3d,case1_original,original,svd,Fold_5,0.5556,0.5167,0.642,0.5098,0.8667
r3d,case1_original,original,svd,Model_Ensemble (Soft Voting),0.4811,0.4667,0.6098,0.4808,0.8333
r3d,case1_original,original,svd,Folds_Mean ± SD,0.4690 ± 0.0603,0.4933 ± 0.0325,0.6156 ± 0.0244,0.4967 ± 0.0193,0.8133 ± 0.0691
r3d,case1_original,instagram,pika,Fold_1,0.8039,0.5333,0.6818,0.5172,1.0
r3d,case1_original,instagram,pika,Fold_2,0.7833,0.55,0.6897,0.5263,1.0
r3d,case1_original,instagram,pika,Fold_3,0.8511,0.55,0.6897,0.5263,1.0
r3d,case1_original,instagram,pika,Fold_4,0.86,0.65,0.7407,0.5882,1.0
r3d,case1_original,instagram,pika,Fold_5,0.82,0.5333,0.6818,0.5172,1.0
r3d,case1_original,instagram,pika,Model_Ensemble (Soft Voting),0.8667,0.55,0.6897,0.5263,1.0
r3d,case1_original,instagram,pika,Folds_Mean ± SD,0.8237 ± 0.0320,0.5633 ± 0.0492,0.6967 ± 0.0249,0.5351 ± 0.0301,1.0000 ± 0.0000
r3d,case1_original,instagram,runway,Fold_1,0.7433,0.5167,0.6667,0.5088,0.9667
r3d,case1_original,instagram,runway,Fold_2,0.7867,0.55,0.6897,0.5263,1.0
r3d,case1_original,instagram,runway,Fold_3,0.8622,0.55,0.6897,0.5263,1.0
r3d,case1_original,instagram,runway,Fold_4,0.7411,0.6167,0.7089,0.5714,0.9333
r3d,case1_original,instagram,runway,Fold_5,0.8433,0.5333,0.6818,0.5172,1.0
r3d,case1_original,instagram,runway,Model_Ensemble (Soft Voting),0.7967,0.55,0.6897,0.5263,1.0
r3d,case1_original,instagram,runway,Folds_Mean ± SD,0.7953 ± 0.0559,0.5533 ± 0.0380,0.6873 ± 0.0153,0.5300 ± 0.0243,0.9800 ± 0.0298
r3d,case1_original,instagram,svd,Fold_1,0.4156,0.4167,0.5679,0.451,0.7667
r3d,case1_original,instagram,svd,Fold_2,0.4589,0.4667,0.6098,0.4808,0.8333
r3d,case1_original,instagram,svd,Fold_3,0.4778,0.4667,0.6098,0.4808,0.8333
r3d,case1_original,instagram,svd,Fold_4,0.4233,0.4833,0.5634,0.4878,0.6667
r3d,case1_original,instagram,svd,Fold_5,0.53,0.45,0.6024,0.4717,0.8333
r3d,case1_original,instagram,svd,Model_Ensemble (Soft Voting),0.45,0.4667,0.6098,0.4808,0.8333
r3d,case1_original,instagram,svd,Folds_Mean ± SD,0.4611 ± 0.0462,0.4567 ± 0.0253,0.5906 ± 0.0231,0.4744 ± 0.0143,0.7867 ± 0.0730
r3d,case1_original,kakao_normal,pika,Fold_1,0.8089,0.5333,0.6818,0.5172,1.0
r3d,case1_original,kakao_normal,pika,Fold_2,0.7822,0.55,0.6824,0.5273,0.9667
r3d,case1_original,kakao_normal,pika,Fold_3,0.8644,0.5667,0.6977,0.5357,1.0
r3d,case1_original,kakao_normal,pika,Fold_4,0.8633,0.6667,0.75,0.6,1.0
r3d,case1_original,kakao_normal,pika,Fold_5,0.8278,0.5833,0.7059,0.5455,1.0
r3d,case1_original,kakao_normal,pika,Model_Ensemble (Soft Voting),0.8622,0.55,0.6897,0.5263,1.0
r3d,case1_original,kakao_normal,pika,Folds_Mean ± SD,0.8293 ± 0.0355,0.5800 ± 0.0519,0.7035 ± 0.0279,0.5451 ± 0.0324,0.9933 ± 0.0149
r3d,case1_original,kakao_normal,runway,Fold_1,0.7511,0.5167,0.6667,0.5088,0.9667
r3d,case1_original,kakao_normal,runway,Fold_2,0.8022,0.5667,0.6977,0.5357,1.0
r3d,case1_original,kakao_normal,runway,Fold_3,0.8778,0.5667,0.6977,0.5357,1.0
r3d,case1_original,kakao_normal,runway,Fold_4,0.7444,0.6333,0.7179,0.5833,0.9333
r3d,case1_original,kakao_normal,runway,Fold_5,0.86,0.5833,0.7059,0.5455,1.0
r3d,case1_original,kakao_normal,runway,Model_Ensemble (Soft Voting),0.8122,0.55,0.6897,0.5263,1.0
r3d,case1_original,kakao_normal,runway,Folds_Mean ± SD,0.8071 ± 0.0610,0.5733 ± 0.0418,0.6972 ± 0.0190,0.5418 ± 0.0269,0.9800 ± 0.0298
r3d,case1_original,kakao_normal,svd,Fold_1,0.4233,0.4167,0.5679,0.451,0.7667
r3d,case1_original,kakao_normal,svd,Fold_2,0.4611,0.4833,0.6173,0.4902,0.8333
r3d,case1_original,kakao_normal,svd,Fold_3,0.4889,0.45,0.5823,0.4694,0.7667
r3d,case1_original,kakao_normal,svd,Fold_4,0.43,0.5167,0.5915,0.5122,0.7
r3d,case1_original,kakao_normal,svd,Fold_5,0.5528,0.5,0.625,0.5,0.8333
r3d,case1_original,kakao_normal,svd,Model_Ensemble (Soft Voting),0.4689,0.45,0.5926,0.4706,0.8
r3d,case1_original,kakao_normal,svd,Folds_Mean ± SD,0.4712 ± 0.0526,0.4733 ± 0.0401,0.5968 ± 0.0239,0.4846 ± 0.0245,0.7800 ± 0.0558
r3d,case1_original,kakao_high,pika,Fold_1,0.8078,0.5333,0.6818,0.5172,1.0
r3d,case1_original,kakao_high,pika,Fold_2,0.7878,0.5833,0.6988,0.5472,0.9667
r3d,case1_original,kakao_high,pika,Fold_3,0.8644,0.5833,0.7059,0.5455,1.0
r3d,case1_original,kakao_high,pika,Fold_4,0.8594,0.6667,0.7436,0.6042,0.9667
r3d,case1_original,kakao_high,pika,Fold_5,0.8356,0.5833,0.7059,0.5455,1.0
r3d,case1_original,kakao_high,pika,Model_Ensemble (Soft Voting),0.8611,0.5667,0.6977,0.5357,1.0
r3d,case1_original,kakao_high,pika,Folds_Mean ± SD,0.8310 ± 0.0330,0.5900 ± 0.0480,0.7072 ± 0.0226,0.5519 ± 0.0318,0.9867 ± 0.0183
r3d,case1_original,kakao_high,runway,Fold_1,0.7522,0.5167,0.6667,0.5088,0.9667
r3d,case1_original,kakao_high,runway,Fold_2,0.8067,0.6,0.7143,0.5556,1.0
r3d,case1_original,kakao_high,runway,Fold_3,0.8878,0.5833,0.7059,0.5455,1.0
r3d,case1_original,kakao_high,runway,Fold_4,0.7456,0.65,0.7273,0.5957,0.9333
r3d,case1_original,kakao_high,runway,Fold_5,0.8656,0.5833,0.7059,0.5455,1.0
r3d,case1_original,kakao_high,runway,Model_Ensemble (Soft Voting),0.8244,0.5667,0.6977,0.5357,1.0
r3d,case1_original,kakao_high,runway,Folds_Mean ± SD,0.8116 ± 0.0645,0.5867 ± 0.0477,0.7040 ± 0.0226,0.5502 ± 0.0311,0.9800 ± 0.0298
r3d,case1_original,kakao_high,svd,Fold_1,0.4256,0.4167,0.5679,0.451,0.7667
r3d,case1_original,kakao_high,svd,Fold_2,0.4767,0.5,0.6154,0.5,0.8
r3d,case1_original,kakao_high,svd,Fold_3,0.5044,0.4833,0.6076,0.4898,0.8
r3d,case1_original,kakao_high,svd,Fold_4,0.4244,0.5333,0.6,0.525,0.7
r3d,case1_original,kakao_high,svd,Fold_5,0.5644,0.5,0.625,0.5,0.8333
r3d,case1_original,kakao_high,svd,Model_Ensemble (Soft Voting),0.4911,0.4667,0.6,0.48,0.8
r3d,case1_original,kakao_high,svd,Folds_Mean ± SD,0.4791 ± 0.0587,0.4867 ± 0.0431,0.6032 ± 0.0218,0.4932 ± 0.0269,0.7800 ± 0.0506
r3d,case4_mixed,original,pika,Fold_1,0.8022,0.5167,0.6742,0.5085,1.0
r3d,case4_mixed,original,pika,Fold_2,0.78,0.5167,0.6742,0.5085,1.0
r3d,case4_mixed,original,pika,Fold_3,0.8033,0.5,0.6667,0.5,1.0
r3d,case4_mixed,original,pika,Fold_4,0.8878,0.5833,0.7059,0.5455,1.0
r3d,case4_mixed,original,pika,Fold_5,0.7922,0.5167,0.6742,0.5085,1.0
r3d,case4_mixed,original,pika,Model_Ensemble (Soft Voting),0.88,0.5167,0.6742,0.5085,1.0
r3d,case4_mixed,original,pika,Folds_Mean ± SD,0.8131 ± 0.0428,0.5267 ± 0.0325,0.6790 ± 0.0154,0.5142 ± 0.0179,1.0000 ± 0.0000
r3d,case4_mixed,original,runway,Fold_1,0.6767,0.5167,0.6742,0.5085,1.0
r3d,case4_mixed,original,runway,Fold_2,0.6956,0.5167,0.6742,0.5085,1.0
r3d,case4_mixed,original,runway,Fold_3,0.8011,0.5,0.6667,0.5,1.0
r3d,case4_mixed,original,runway,Fold_4,0.7422,0.5833,0.7059,0.5455,1.0
r3d,case4_mixed,original,runway,Fold_5,0.7689,0.5167,0.6742,0.5085,1.0
r3d,case4_mixed,original,runway,Model_Ensemble (Soft Voting),0.7367,0.5167,0.6742,0.5085,1.0
r3d,case4_mixed,original,runway,Folds_Mean ± SD,0.7369 ± 0.0513,0.5267 ± 0.0325,0.6790 ± 0.0154,0.5142 ± 0.0179,1.0000 ± 0.0000
r3d,case4_mixed,original,svd,Fold_1,0.38,0.45,0.6118,0.4727,0.8667
r3d,case4_mixed,original,svd,Fold_2,0.42,0.4333,0.5952,0.463,0.8333
r3d,case4_mixed,original,svd,Fold_3,0.4278,0.4333,0.6047,0.4643,0.8667
r3d,case4_mixed,original,svd,Fold_4,0.4256,0.4667,0.5897,0.4792,0.7667
r3d,case4_mixed,original,svd,Fold_5,0.4567,0.4833,0.6437,0.4912,0.9333
r3d,case4_mixed,original,svd,Model_Ensemble (Soft Voting),0.4211,0.45,0.6118,0.4727,0.8667
r3d,case4_mixed,original,svd,Folds_Mean ± SD,0.4220 ± 0.0275,0.4533 ± 0.0217,0.6090 ± 0.0212,0.4741 ± 0.0116,0.8533 ± 0.0606
r3d,case4_mixed,instagram,pika,Fold_1,0.8078,0.5167,0.6742,0.5085,1.0
r3d,case4_mixed,instagram,pika,Fold_2,0.7944,0.5167,0.6742,0.5085,1.0
r3d,case4_mixed,instagram,pika,Fold_3,0.8156,0.5,0.6667,0.5,1.0
r3d,case4_mixed,instagram,pika,Fold_4,0.8867,0.5833,0.7059,0.5455,1.0
r3d,case4_mixed,instagram,pika,Fold_5,0.7872,0.5167,0.6742,0.5085,1.0
r3d,case4_mixed,instagram,pika,Model_Ensemble (Soft Voting),0.8867,0.5167,0.6742,0.5085,1.0
r3d,case4_mixed,instagram,pika,Folds_Mean ± SD,0.8183 ± 0.0398,0.5267 ± 0.0325,0.6790 ± 0.0154,0.5142 ± 0.0179,1.0000 ± 0.0000
r3d,case4_mixed,instagram,runway,Fold_1,0.6833,0.5167,0.6742,0.5085,1.0
r3d,case4_mixed,instagram,runway,Fold_2,0.7028,0.5167,0.6742,0.5085,1.0
r3d,case4_mixed,instagram,runway,Fold_3,0.8011,0.5,0.6667,0.5,1.0
r3d,case4_mixed,instagram,runway,Fold_4,0.7489,0.5833,0.7059,0.5455,1.0
r3d,case4_mixed,instagram,runway,Fold_5,0.7633,0.5167,0.6742,0.5085,1.0
r3d,case4_mixed,instagram,runway,Model_Ensemble (Soft Voting),0.7444,0.5167,0.6742,0.5085,1.0
r3d,case4_mixed,instagram,runway,Folds_Mean ± SD,0.7399 ± 0.0473,0.5267 ± 0.0325,0.6790 ± 0.0154,0.5142 ± 0.0179,1.0000 ± 0.0000
r3d,case4_mixed,instagram,svd,Fold_1,0.3856,0.45,0.6118,0.4727,0.8667
r3d,case4_mixed,instagram,svd,Fold_2,0.4289,0.45,0.6118,0.4727,0.8667
r3d,case4_mixed,instagram,svd,Fold_3,0.4367,0.4333,0.6047,0.4643,0.8667
r3d,case4_mixed,instagram,svd,Fold_4,0.4333,0.4667,0.5897,0.4792,0.7667
r3d,case4_mixed,instagram,svd,Fold_5,0.46,0.4833,0.6437,0.4912,0.9333
r3d,case4_mixed,instagram,svd,Model_Ensemble (Soft Voting),0.4178,0.4667,0.6279,0.4821,0.9
r3d,case4_mixed,instagram,svd,Folds_Mean ± SD,0.4289 ± 0.0270,0.4567 ± 0.0190,0.6123 ± 0.0197,0.4760 ± 0.0100,0.8600 ± 0.0596
r3d,case4_mixed,kakao_normal,pika,Fold_1,0.8067,0.5167,0.6742,0.5085,1.0
r3d,case4_mixed,kakao_normal,pika,Fold_2,0.7722,0.5167,0.6742,0.5085,1.0
r3d,case4_mixed,kakao_normal,pika,Fold_3,0.8144,0.5,0.6667,0.5,1.0
r3d,case4_mixed,kakao_normal,pika,Fold_4,0.8872,0.5833,0.7059,0.5455,1.0
r3d,case4_mixed,kakao_normal,pika,Fold_5,0.7856,0.5167,0.6742,0.5085,1.0
r3d,case4_mixed,kakao_normal,pika,Model_Ensemble (Soft Voting),0.8811,0.5167,0.6742,0.5085,1.0
r3d,case4_mixed,kakao_normal,pika,Folds_Mean ± SD,0.8132 ± 0.0446,0.5267 ± 0.0325,0.6790 ± 0.0154,0.5142 ± 0.0179,1.0000 ± 0.0000
r3d,case4_mixed,kakao_normal,runway,Fold_1,0.6789,0.5167,0.6742,0.5085,1.0
r3d,case4_mixed,kakao_normal,runway,Fold_2,0.7056,0.5167,0.6742,0.5085,1.0
r3d,case4_mixed,kakao_normal,runway,Fold_3,0.8056,0.5,0.6667,0.5,1.0
r3d,case4_mixed,kakao_normal,runway,Fold_4,0.75,0.5833,0.7059,0.5455,1.0
r3d,case4_mixed,kakao_normal,runway,Fold_5,0.7667,0.5167,0.6742,0.5085,1.0
r3d,case4_mixed,kakao_normal,runway,Model_Ensemble (Soft Voting),0.74,0.5167,0.6742,0.5085,1.0
r3d,case4_mixed,kakao_normal,runway,Folds_Mean ± SD,0.7413 ± 0.0501,0.5267 ± 0.0325,0.6790 ± 0.0154,0.5142 ± 0.0179,1.0000 ± 0.0000
r3d,case4_mixed,kakao_normal,svd,Fold_1,0.3811,0.45,0.6118,0.4727,0.8667
r3d,case4_mixed,kakao_normal,svd,Fold_2,0.4244,0.4333,0.5952,0.463,0.8333
r3d,case4_mixed,kakao_normal,svd,Fold_3,0.4272,0.4333,0.6047,0.4643,0.8667
r3d,case4_mixed,kakao_normal,svd,Fold_4,0.4322,0.4667,0.5897,0.4792,0.7667
r3d,case4_mixed,kakao_normal,svd,Fold_5,0.4567,0.4833,0.6437,0.4912,0.9333
r3d,case4_mixed,kakao_normal,svd,Model_Ensemble (Soft Voting),0.4267,0.45,0.6118,0.4727,0.8667
r3d,case4_mixed,kakao_normal,svd,Folds_Mean ± SD,0.4243 ± 0.0273,0.4533 ± 0.0217,0.6090 ± 0.0212,0.4741 ± 0.0116,0.8533 ± 0.0606
r3d,case4_mixed,kakao_high,pika,Fold_1,0.8094,0.5167,0.6742,0.5085,1.0
r3d,case4_mixed,kakao_high,pika,Fold_2,0.78,0.5333,0.6818,0.5172,1.0
r3d,case4_mixed,kakao_high,pika,Fold_3,0.8111,0.5,0.6667,0.5,1.0
r3d,case4_mixed,kakao_high,pika,Fold_4,0.8867,0.5833,0.7059,0.5455,1.0
r3d,case4_mixed,kakao_high,pika,Fold_5,0.7917,0.5167,0.6742,0.5085,1.0
r3d,case4_mixed,kakao_high,pika,Model_Ensemble (Soft Voting),0.8867,0.5167,0.6742,0.5085,1.0
r3d,case4_mixed,kakao_high,pika,Folds_Mean ± SD,0.8158 ± 0.0417,0.5300 ± 0.0321,0.6805 ± 0.0151,0.5159 ± 0.0176,1.0000 ± 0.0000
r3d,case4_mixed,kakao_high,runway,Fold_1,0.6756,0.5167,0.6742,0.5085,1.0
r3d,case4_mixed,kakao_high,runway,Fold_2,0.6978,0.5333,0.6818,0.5172,1.0
r3d,case4_mixed,kakao_high,runway,Fold_3,0.8,0.5,0.6667,0.5,1.0
r3d,case4_mixed,kakao_high,runway,Fold_4,0.7422,0.5833,0.7059,0.5455,1.0
r3d,case4_mixed,kakao_high,runway,Fold_5,0.7667,0.5167,0.6742,0.5085,1.0
r3d,case4_mixed,kakao_high,runway,Model_Ensemble (Soft Voting),0.7333,0.5167,0.6742,0.5085,1.0
r3d,case4_mixed,kakao_high,runway,Folds_Mean ± SD,0.7364 ± 0.0505,0.5300 ± 0.0321,0.6805 ± 0.0151,0.5159 ± 0.0176,1.0000 ± 0.0000
r3d,case4_mixed,kakao_high,svd,Fold_1,0.38,0.45,0.6118,0.4727,0.8667
r3d,case4_mixed,kakao_high,svd,Fold_2,0.4194,0.45,0.6024,0.4717,0.8333
r3d,case4_mixed,kakao_high,svd,Fold_3,0.4222,0.4333,0.6047,0.4643,0.8667
r3d,case4_mixed,kakao_high,svd,Fold_4,0.4278,0.4667,0.5897,0.4792,0.7667
r3d,case4_mixed,kakao_high,svd,Fold_5,0.4522,0.4833,0.6437,0.4912,0.9333
r3d,case4_mixed,kakao_high,svd,Model_Ensemble (Soft Voting),0.4189,0.45,0.6118,0.4727,0.8667
r3d,case4_mixed,kakao_high,svd,Folds_Mean ± SD,0.4203 ± 0.0260,0.4567 ± 0.0190,0.6104 ± 0.0202,0.4758 ± 0.0101,0.8533 ± 0.0606
r2plus1d,case1_original,original,pika,Fold_1,0.5156,0.5167,0.6742,0.5085,1.0
r2plus1d,case1_original,original,pika,Fold_2,0.5956,0.5833,0.7059,0.5455,1.0
r2plus1d,case1_original,original,pika,Fold_3,0.6222,0.5167,0.6742,0.5085,1.0
r2plus1d,case1_original,original,pika,Fold_4,0.7622,0.6333,0.7105,0.587,0.9
r2plus1d,case1_original,original,pika,Fold_5,0.6889,0.55,0.6897,0.5263,1.0
r2plus1d,case1_original,original,pika,Model_Ensemble (Soft Voting),0.6589,0.55,0.6897,0.5263,1.0
r2plus1d,case1_original,original,pika,Folds_Mean ± SD,0.6369 ± 0.0936,0.5600 ± 0.0494,0.6909 ± 0.0171,0.5351 ± 0.0328,0.9800 ± 0.0447
r2plus1d,case1_original,original,runway,Fold_1,0.6356,0.5,0.6591,0.5,0.9667
r2plus1d,case1_original,original,runway,Fold_2,0.6567,0.5333,0.6585,0.5192,0.9
r2plus1d,case1_original,original,runway,Fold_3,0.6278,0.4667,0.6279,0.4821,0.9
r2plus1d,case1_original,original,runway,Fold_4,0.7789,0.6667,0.7436,0.6042,0.9667
r2plus1d,case1_original,original,runway,Fold_5,0.6778,0.5167,0.6588,0.5091,0.9333
r2plus1d,case1_original,original,runway,Model_Ensemble (Soft Voting),0.6478,0.5167,0.6588,0.5091,0.9333
r2plus1d,case1_original,original,runway,Folds_Mean ± SD,0.6753 ± 0.0611,0.5367 ± 0.0767,0.6696 ± 0.0435,0.5229 ± 0.0474,0.9333 ± 0.0333
r2plus1d,case1_original,original,svd,Fold_1,0.3611,0.45,0.6118,0.4727,0.8667
r2plus1d,case1_original,original,svd,Fold_2,0.4022,0.4667,0.5897,0.4792,0.7667
r2plus1d,case1_original,original,svd,Fold_3,0.3783,0.45,0.6118,0.4727,0.8667
r2plus1d,case1_original,original,svd,Fold_4,0.4589,0.4833,0.5373,0.4865,0.6
r2plus1d,case1_original,original,svd,Fold_5,0.4189,0.4167,0.557,0.449,0.7333
r2plus1d,case1_original,original,svd,Model_Ensemble (Soft Voting),0.3944,0.45,0.5926,0.4706,0.8
r2plus1d,case1_original,original,svd,Folds_Mean ± SD,0.4039 ± 0.0379,0.4533 ± 0.0247,0.5815 ± 0.0334,0.4720 ± 0.0141,0.7667 ± 0.1106
r2plus1d,case1_original,instagram,pika,Fold_1,0.5344,0.5333,0.6818,0.5172,1.0
r2plus1d,case1_original,instagram,pika,Fold_2,0.5778,0.5833,0.7059,0.5455,1.0
r2plus1d,case1_original,instagram,pika,Fold_3,0.6333,0.5333,0.6818,0.5172,1.0
r2plus1d,case1_original,instagram,pika,Fold_4,0.7489,0.6833,0.7595,0.6122,1.0
r2plus1d,case1_original,instagram,pika,Fold_5,0.7078,0.5667,0.6977,0.5357,1.0
r2plus1d,case1_original,instagram,pika,Model_Ensemble (Soft Voting),0.67,0.55,0.6897,0.5263,1.0
r2plus1d,case1_original,instagram,pika,Folds_Mean ± SD,0.6404 ± 0.0888,0.5800 ± 0.0617,0.7053 ± 0.0320,0.5456 ± 0.0392,1.0000 ± 0.0000
r2plus1d,case1_original,instagram,runway,Fold_1,0.6133,0.5333,0.6818,0.5172,1.0
r2plus1d,case1_original,instagram,runway,Fold_2,0.6433,0.55,0.6747,0.5283,0.9333
r2plus1d,case1_original,instagram,runway,Fold_3,0.6228,0.5333,0.6818,0.5172,1.0
r2plus1d,case1_original,instagram,runway,Fold_4,0.7522,0.65,0.7273,0.5957,0.9333
r2plus1d,case1_original,instagram,runway,Fold_5,0.6778,0.5333,0.6667,0.5185,0.9333
r2plus1d,case1_original,instagram,runway,Model_Ensemble (Soft Voting),0.6433,0.5333,0.6744,0.5179,0.9667
r2plus1d,case1_original,instagram,runway,Folds_Mean ± SD,0.6619 ± 0.0562,0.5600 ± 0.0508,0.6865 ± 0.0237,0.5354 ± 0.0340,0.9600 ± 0.0365
r2plus1d,case1_original,instagram,svd,Fold_1,0.3489,0.4667,0.619,0.4815,0.8667
r2plus1d,case1_original,instagram,svd,Fold_2,0.4011,0.4667,0.5897,0.4792,0.7667
r2plus1d,case1_original,instagram,svd,Fold_3,0.3867,0.4667,0.619,0.4815,0.8667
r2plus1d,case1_original,instagram,svd,Fold_4,0.4356,0.4667,0.5152,0.4722,0.5667
r2plus1d,case1_original,instagram,svd,Fold_5,0.4011,0.4667,0.6,0.48,0.8
r2plus1d,case1_original,instagram,svd,Model_Ensemble (Soft Voting),0.3844,0.4667,0.6098,0.4808,0.8333
r2plus1d,case1_original,instagram,svd,Folds_Mean ± SD,0.3947 ± 0.0313,0.4667 ± 0.0000,0.5886 ± 0.0430,0.4789 ± 0.0038,0.7733 ± 0.1234
r2plus1d,case1_original,kakao_normal,pika,Fold_1,0.5033,0.5167,0.6667,0.5088,0.9667
r2plus1d,case1_original,kakao_normal,pika,Fold_2,0.5767,0.5833,0.7059,0.5455,1.0
r2plus1d,case1_original,kakao_normal,pika,Fold_3,0.6133,0.5333,0.6818,0.5172,1.0
r2plus1d,case1_original,kakao_normal,pika,Fold_4,0.7122,0.6333,0.7179,0.5833,0.9333
r2plus1d,case1_original,kakao_normal,pika,Fold_5,0.6844,0.55,0.6897,0.5263,1.0
r2plus1d,case1_original,kakao_normal,pika,Model_Ensemble (Soft Voting),0.6522,0.5667,0.6977,0.5357,1.0
r2plus1d,case1_original,kakao_normal,pika,Folds_Mean ± SD,0.6180 ± 0.0839,0.5633 ± 0.0462,0.6924 ± 0.0201,0.5362 ± 0.0297,0.9800 ± 0.0298
r2plus1d,case1_original,kakao_normal,runway,Fold_1,0.6256,0.5333,0.6818,0.5172,1.0
r2plus1d,case1_original,kakao_normal,runway,Fold_2,0.65,0.55,0.6747,0.5283,0.9333
r2plus1d,case1_original,kakao_normal,runway,Fold_3,0.6256,0.5167,0.6667,0.5088,0.9667
r2plus1d,case1_original,kakao_normal,runway,Fold_4,0.7378,0.6167,0.7013,0.5745,0.9
r2plus1d,case1_original,kakao_normal,runway,Fold_5,0.6622,0.5167,0.6588,0.5091,0.9333
r2plus1d,case1_original,kakao_normal,runway,Model_Ensemble (Soft Voting),0.6444,0.5333,0.6667,0.5185,0.9333
r2plus1d,case1_original,kakao_normal,runway,Folds_Mean ± SD,0.6602 ± 0.0462,0.5467 ± 0.0415,0.6767 ± 0.0162,0.5276 ± 0.0274,0.9467 ± 0.0380
r2plus1d,case1_original,kakao_normal,svd,Fold_1,0.3456,0.4667,0.619,0.4815,0.8667
r2plus1d,case1_original,kakao_normal,svd,Fold_2,0.3856,0.4833,0.6076,0.4898,0.8
r2plus1d,case1_original,kakao_normal,svd,Fold_3,0.3678,0.4667,0.619,0.4815,0.8667
r2plus1d,case1_original,kakao_normal,svd,Fold_4,0.4267,0.45,0.5075,0.4595,0.5667
r2plus1d,case1_original,kakao_normal,svd,Fold_5,0.3878,0.45,0.5926,0.4706,0.8
r2plus1d,case1_original,kakao_normal,svd,Model_Ensemble (Soft Voting),0.3767,0.4833,0.6173,0.4902,0.8333
r2plus1d,case1_original,kakao_normal,svd,Folds_Mean ± SD,0.3827 ± 0.0299,0.4633 ± 0.0139,0.5891 ± 0.0469,0.4766 ± 0.0117,0.7800 ± 0.1238
r2plus1d,case1_original,kakao_high,pika,Fold_1,0.5,0.5,0.6512,0.5,0.9333
r2plus1d,case1_original,kakao_high,pika,Fold_2,0.5856,0.5833,0.7059,0.5455,1.0
r2plus1d,case1_original,kakao_high,pika,Fold_3,0.6067,0.5167,0.6742,0.5085,1.0
r2plus1d,case1_original,kakao_high,pika,Fold_4,0.7233,0.6167,0.7013,0.5745,0.9
r2plus1d,case1_original,kakao_high,pika,Fold_5,0.6822,0.55,0.6897,0.5263,1.0
r2plus1d,case1_original,kakao_high,pika,Model_Ensemble (Soft Voting),0.6478,0.5667,0.6977,0.5357,1.0
r2plus1d,case1_original,kakao_high,pika,Folds_Mean ± SD,0.6196 ± 0.0871,0.5533 ± 0.0477,0.6844 ± 0.0223,0.5309 ± 0.0300,0.9667 ± 0.0471
r2plus1d,case1_original,kakao_high,runway,Fold_1,0.63,0.5167,0.6667,0.5088,0.9667
r2plus1d,case1_original,kakao_high,runway,Fold_2,0.6606,0.5333,0.6585,0.5192,0.9
r2plus1d,case1_original,kakao_high,runway,Fold_3,0.6333,0.4833,0.6437,0.4912,0.9333
r2plus1d,case1_original,kakao_high,runway,Fold_4,0.7467,0.6167,0.7013,0.5745,0.9
r2plus1d,case1_original,kakao_high,runway,Fold_5,0.6756,0.5167,0.6588,0.5091,0.9333
r2plus1d,case1_original,kakao_high,runway,Model_Ensemble (Soft Voting),0.6533,0.5333,0.6667,0.5185,0.9333
r2plus1d,case1_original,kakao_high,runway,Folds_Mean ± SD,0.6692 ± 0.0473,0.5333 ± 0.0500,0.6658 ± 0.0215,0.5206 ± 0.0318,0.9267 ± 0.0279
r2plus1d,case1_original,kakao_high,svd,Fold_1,0.34,0.4333,0.5854,0.4615,0.8
